zone,predictor,horizon,target_coverage,price_id,price_ratio,method,n,window_count,mean_errf,mean_capacity_cost,mean_exceedance_cost,coverage,width,interval_score,tuwr,towr,ard,under_gap,over_gap,relative_excess,overall_gap_pp,TUWR_pct
zone1,GBR,3,0.2,R01,1.0,EnbPI-RH,8460,7959,0.6285343952133517,0.29086833334383166,0.33766606186952003,0.20921985815602837,0.08170458801793024,0.3188296314656268,0.09423294383716548,0.18620429702223898,0.04162807603252383,0.01780509037388043,0.023822985658643398,1.791364920339622,0.9219858156028354,9.423294383716547
zone1,GBR,3,0.2,R01,1.0,Static,8460,7959,0.6174731969703258,0.2727731300685427,0.34470006690178295,0.1975177304964539,0.07662166574959065,0.3186863194727529,0.11421032793064455,0.08782510365623822,0.039974512232333566,0.02340746324915191,0.01656704898318165,0.0,-0.2482269503546103,11.421032793064455
zone1,GBR,3,0.2,R01,1.0,TSC,8460,7959,0.7208166003822021,0.4330230249031196,0.2877935754790824,0.32163120567375886,0.1216356811525617,0.3237379111238274,0.0,0.9445910290237467,0.11665410227415503,0.0,0.11665410227415503,16.736500291662495,12.163120567375884,0.0
zone1,GBR,3,0.3,R01,1.0,ACI,8460,7959,0.8883677861346263,0.6718893935254578,0.21647839260916854,0.4631205673758865,0.18873297570939826,0.3624716535658738,0.0,0.9879381831888429,0.1593317538097033,0.0,0.1593317538097033,25.002480392257475,16.312056737588655,0.0
zone1,GBR,3,0.3,R01,1.0,AgACI,8460,7959,0.9732638391746298,0.773604151849799,0.1996596873248305,0.5088652482269503,0.21730453703646044,0.37754505655879633,0.0,1.0,0.20595686823542084,0.0,0.20595686823542084,36.948227830588024,20.886524822695034,0.0
zone1,GBR,3,0.3,R01,1.0,EEE,8460,7959,0.8173327908837673,0.578509689788683,0.23882310109508434,0.3875886524822695,0.16250272185075365,0.35417455258517133,0.0,0.6117602713908784,0.08463554287150217,6.282196255811009e-06,0.08462926067524634,15.00712628374643,8.758865248226948,0.0
zone1,GBR,3,0.3,R01,1.0,EnbPI-RH,8460,7959,0.7264992344294454,0.4462756708471082,0.2802235635823372,0.3053191489361703,0.12535833450761466,0.3502568606571629,0.09950998869204673,0.10441010177157935,0.0476598818947104,0.0217951824529284,0.025864699441781994,2.225911074396536,0.5319148936170304,9.950998869204673
zone1,GBR,3,0.3,R01,1.0,Static,8460,7959,0.7106801267838289,0.42226954293236707,0.28841058385146184,0.29432624113475175,0.11861504014954129,0.35008420856965516,0.14285714285714285,0.09837919336600075,0.04747635201837991,0.02911753091738014,0.018358821100999772,0.0,-0.5673758865248235,14.285714285714285
zone1,GBR,3,0.3,R01,1.0,TSC,8460,7959,0.846513288444873,0.6170331549149661,0.22948013352990684,0.43156028368794325,0.1733239199199343,0.3574973818219462,0.0,0.9057670561628345,0.12689767199755894,0.0,0.12689767199755894,19.113122281293382,13.156028368794326,0.0
zone1,GBR,3,0.4,R01,1.0,ACI,8460,7959,1.0284248877358142,0.8585981993327202,0.1698266884030941,0.5542553191489363,0.24117926947548318,0.4001930226619009,0.0,0.9577836411609498,0.14966524868522604,0.0,0.14966524868522604,25.469318290958576,15.42553191489363,0.0
zone1,GBR,3,0.4,R01,1.0,AgACI,8460,7959,1.1193671239602558,0.9650019037394952,0.15436522022076044,0.5960992907801419,0.27106795048862226,0.4156046735417687,0.0,1.0,0.19279701326440862,0.0,0.19279701326440862,36.56440216048389,19.609929078014186,0.0
zone1,GBR,3,0.4,R01,1.0,EEE,8460,7959,0.9456383103445222,0.7573264953063257,0.1883118150381963,0.48652482269503544,0.2127321616029005,0.3890540857959682,0.0,0.5601206181681115,0.08355051783246278,0.0004693698059698823,0.0830811480264929,15.369236551595433,8.652482269503542,0.0
zone1,GBR,3,0.4,R01,1.0,EnbPI-RH,8460,7959,0.8473506178367627,0.6227192024611655,0.2246314153755971,0.4102836879432624,0.17492112428684423,0.38525016490069924,0.0652091971353185,0.14285714285714285,0.05083194227559097,0.02227218064006606,0.028559761635524913,3.3779964305105326,1.0283687943262398,6.520919713531851
zone1,GBR,3,0.4,R01,1.0,Static,8460,7959,0.8196624495487701,0.5829866756919226,0.23667577385684757,0.38085106382978723,0.16376030216065243,0.3853668319891614,0.22238974745571052,0.09159442140972486,0.057740563243767175,0.04225091091845711,0.015489652325310067,0.0,-1.9148936170212794,22.238974745571053
zone1,GBR,3,0.4,R01,1.0,TSC,8460,7959,0.984024578019856,0.805675624570762,0.17834895344909374,0.5301418439716312,0.22631337768841628,0.39330677979430934,0.0,0.8948360346777233,0.12559097517635023,0.0,0.12559097517635023,20.0524165236029,13.01418439716312,0.0
zone1,GBR,3,0.5,R01,1.0,ACI,8460,7959,1.171742531760863,1.0426243053388289,0.1291182264220344,0.6351063829787233,0.2928719958816935,0.43794865478285583,0.0,0.9193366000753863,0.13035108502503906,0.0,0.13035108502503906,24.823358444456268,13.510638297872335,0.0
