price_id,regime,method,changed_fraction,delta_ERRF_contribution,delta_capacity_contribution,delta_exceedance_contribution,delta_covered_contribution,delta_width_contribution
R10,overall,FIX_REFERENCE_PRICE,0.32209542805452102,0.01863445054658381,-0.049978943435421572,0.068613393982005361,-0.015478253040904402,-0.0140390290548937
R10,overall,GLOBAL_SCORE_SAME_SCREEN,0.56410371503708812,0.029189988086708141,0.11154152689523086,-0.082351538808522723,0.019944920558575628,0.031331889577312047
R10,overall,NO_BACKOFF_EXACT,0.07912729528181095,0.0085963066166030288,-0.00099988234153292619,0.0095961889581359545,-0.0013657007879109729,-0.00028086582627329386
R10,overall,NO_G,0.33488963431452712,-0.010904705124583112,-0.0011391634364279167,-0.0097655416881551917,0.0012857210562302053,-0.0003199897293336851
R10,overall,NO_RWG,0.47431166543837833,-0.023481765725833912,-0.017008048147413492,-0.0064737175784204152,-0.0013136792256971794,-0.0047775416144419927
R10,overall,NO_SCREEN,0.12602782461932591,-0.004156020374655971,-0.020188149570263856,0.01603212919560788,-0.0039260869136713838,-0.0056708285309729932
R10,overall,WIDTH_ONLY,0.8429881579056957,0.45827583151241569,-0.36185419459616697,0.82013002610858332,-0.13456946048692847,-0.10164443668431666
R10,overall,WIDTH_SAME_SCREEN,0.65963906766067137,0.30980045983470345,-0.23219609401552685,0.54199655385023071,-0.093065367423286069,-0.065223621914473895
R10,ramp,FIX_REFERENCE_PRICE,0.30057966645316514,0.022384436895272617,-0.059209138137803451,0.081593575033076057,-0.017662573796063653,-0.01663178037578749
R10,ramp,GLOBAL_SCORE_SAME_SCREEN,0.4493606495912042,0.020556938645600882,0.093189037856662355,-0.072632099211061465,0.019441133038740704,0.026176696027152346
R10,ramp,NO_BACKOFF_EXACT,0.076543020145084656,0.011178274861320826,-0.0070473292095074355,0.018225604070828259,-0.0028463344070310767,-0.001979586856603213
R10,ramp,NO_G,0.30785201867908801,-0.010360361462160864,0.0047823414497539293,-0.015142702911914791,0.0021464956657903517,0.0013433543398185185
R10,ramp,NO_RWG,0.48378108786965895,-0.022080515394120308,-0.055967233174139097,0.033886717780018796,-0.011199555189400145,-0.015721132914084016
R10,ramp,NO_SCREEN,0.16472088570222398,-0.0059817220407259635,-0.02702358293700623,0.021041860896280268,-0.0054442443730509504,-0.0075908940834287161
