zone_or_farm,predictor,horizon_steps,target_coverage,method,coverage,TUWR,width,overall_gap_pp,TUWR_pct
zone1,Ridge,1,0.5,EEE,0.5714693295292439,0,0.1684646778248611,7.1469329529243897,0
zone1,Ridge,1,0.59999999999999987,Static,0.5611982881597718,0.3684841222288795,0.15646435488885449,-3.8801711840228177,36.848412222887958
zone1,Ridge,1,0.59999999999999987,ACI,0.71811697574892996,0,0.23754317563766411,11.81169757489301,0
zone1,Ridge,1,0.59999999999999987,AgACI,0.73837375178316678,0,0.25844154444230888,13.837375178316693,0
zone1,Ridge,1,0.59999999999999987,EnbPI-RH,0.6205420827389444,0.097363690832833999,0.1788514577042781,2.0542082738944423,9.7363690832834049
zone1,Ridge,1,0.59999999999999987,TSC,0.70584878744650503,0,0.22786295916315411,10.584878744650506,0
zone1,Ridge,1,0.59999999999999987,EEE,0.66276747503566324,0.0059916117435589999,0.2078251331682712,6.2767475035663374,0.59916117435590166
zone1,Ridge,1,0.69999999999999984,Static,0.67104136947218262,0.29658478130617127,0.20234712615714959,-2.8958630527817326,29.658478130617137
zone1,Ridge,1,0.69999999999999984,ACI,0.79572039942938655,0,0.28820355102658107,9.5720399429386589,0
zone1,Ridge,1,0.69999999999999984,AgACI,0.81312410841654781,0,0.30729192811946843,11.312410841654785,0
zone1,Ridge,1,0.69999999999999984,EnbPI-RH,0.71726105563480735,0.083582983822648199,0.2282832954315607,1.7261055634807507,8.3582983822648291
zone1,Ridge,1,0.69999999999999984,TSC,0.78830242510699,0,0.27884832200122173,8.830242510699005,0
zone1,Ridge,1,0.69999999999999984,EEE,0.75492154065620543,0,0.25653147518369129,5.4921540656205465,0
zone1,Ridge,1,0.80000000000000004,Static,0.77489300998573463,0.30826842420611139,0.26802126712424562,-2.5106990014265418,30.826842420611143
zone1,Ridge,1,0.80000000000000004,ACI,0.87047075606276736,0,0.35176377493095051,7.0470756062767421,0
zone1,Ridge,1,0.80000000000000004,AgACI,0.87902995720399424,0,0.37188102156580999,7.902995720399419,0
zone1,Ridge,1,0.80000000000000004,EnbPI-RH,0.81312410841654781,0.1249251048532055,0.2972920420838891,1.3124108416547764,12.492510485320553
zone1,Ridge,1,0.80000000000000004,TSC,0.8621968616262482,0,0.34179045936736158,6.2196861626248161,0
zone1,Ridge,1,0.80000000000000004,EEE,0.84393723252496433,0.013780707010185699,0.32223952642621911,4.3937232524964287,1.378070701018574
zone1,Ridge,1,0.90000000000000002,Static,0.88131241084165468,0.27291791491911321,0.36964778321266678,-1.868758915834523,27.291791491911329
zone1,Ridge,1,0.90000000000000002,ACI,0.93466476462196835,0,0.45549283093748838,3.4664764621968547,0
zone1,Ridge,1,0.90000000000000002,AgACI,0.94094151212553478,0,0.47173981113783942,4.0941512125534878,0
zone1,Ridge,1,0.90000000000000002,EnbPI-RH,0.90898716119828804,0.1387058118633912,0.4132714363225467,0.89871611982881294,13.870581186339129
zone1,Ridge,1,0.90000000000000002,TSC,0.9306704707560628,0,0.44388459975945121,3.0670470756062773,0
zone1,Ridge,1,0.90000000000000002,EEE,0.92068473609129797,0.060215698022768098,0.42753796540263572,2.0684736091298173,6.0215698022768125
zone1,Ridge,1,0.94999999999999996,Static,0.93552068473609118,0.24745356500898741,0.46654374406278082,-1.4479315263908663,24.74535650089874
zone1,Ridge,1,0.94999999999999996,ACI,0.96633380884450781,0,0.55073554587634477,1.6333808844507858,0
zone1,Ridge,1,0.94999999999999996,AgACI,0.96918687589158337,0,0.56207130205070965,1.9186875891583519,0
zone1,Ridge,1,0.94999999999999996,EnbPI-RH,0.95320970042796005,0.12792091072498499,0.51771176517507644,0.32097004279600932,12.792091072498501
zone1,Ridge,1,0.94999999999999996,TSC,0.96291012838801715,0.025763930497303699,0.53954963283952584,1.2910128388017197,2.5763930497303771
zone1,Ridge,1,0.94999999999999996,EEE,0.95891583452211115,0.090173756740563202,0.52426558929122791,0.891583452211131,9.0173756740563196
zone1,Ridge,1,0.98999999999999999,Static,0.98516405135520679,0.16177351707609339,0.67010372523672312,-0.48359486447931971,16.177351707609347
zone1,Ridge,1,0.98999999999999999,ACI,0.99258202567760345,0.013780707010185699,0.73397193513240166,0.25820256776034611,1.378070701018574
zone1,Ridge,1,0.98999999999999999,AgACI,0.99315263908701845,0,0.74742749068955805,0.31526390870185711,0
zone1,Ridge,1,0.98999999999999999,EnbPI-RH,0.99087018544935801,0.052127022168963401,0.70457238018668977,0.0870185449358018,5.2127022168963446
zone1,Ridge,1,0.98999999999999999,TSC,0.99201141226818845,0.015877771120431299,0.72591141250266211,0.20114122681883501,1.5877771120431396
