zone,price_id,target_predictor,source_predictor,ERRF
zone5,R05P6179775281,MLP,QRLSTM,2.7010064842676957
zone5,R05P6179775281,MLP,Ridge,2.7140060302999665
zone5,R05P6179775281,QRLSTM,GBR,2.724522035199425
zone5,R05P6179775281,QRLSTM,MLP,2.7266867287937373
zone5,R05P6179775281,QRLSTM,QRLSTM,2.7201052847178535
zone5,R05P6179775281,QRLSTM,Ridge,2.7353631432359933
zone5,R05P6179775281,Ridge,GBR,2.7016269805697273
zone5,R05P6179775281,Ridge,MLP,2.7197259054569614
zone5,R05P6179775281,Ridge,QRLSTM,2.706555452997298
zone5,R05P6179775281,Ridge,Ridge,2.7090943342028795
zone5,R10,GBR,GBR,3.3589541036519646
zone5,R10,GBR,MLP,3.3734038417153127
zone5,R10,GBR,QRLSTM,3.357830611530653
zone5,R10,GBR,Ridge,3.3694768398751287
zone5,R10,MLP,GBR,3.521140666424214
zone5,R10,MLP,MLP,3.5341305826395093
zone5,R10,MLP,QRLSTM,3.5230674176194947
zone5,R10,MLP,Ridge,3.552001639748905
zone5,R10,QRLSTM,GBR,3.5632818582360075
zone5,R10,QRLSTM,MLP,3.5658216435221366
zone5,R10,QRLSTM,QRLSTM,3.5576779537940304
zone5,R10,QRLSTM,Ridge,3.584538774225047
zone5,R10,Ridge,GBR,3.4270308267311806
zone5,R10,Ridge,MLP,3.4482588566209347
zone5,R10,Ridge,QRLSTM,3.4309635424377505
zone5,R10,Ridge,Ridge,3.4440888484987533
zone5,R20,GBR,GBR,4.89781533901754
zone5,R20,GBR,MLP,4.92539102836245
zone5,R20,GBR,QRLSTM,4.891514409283362
zone5,R20,GBR,Ridge,4.922121351185039
zone5,R20,MLP,GBR,5.339907133864653
zone5,R20,MLP,MLP,5.352862016032825
zone5,R20,MLP,QRLSTM,5.331816072791192
zone5,R20,MLP,Ridge,5.386142224167704
zone5,R20,QRLSTM,GBR,5.400636221266377
zone5,R20,QRLSTM,MLP,5.422668103108011
zone5,R20,QRLSTM,QRLSTM,5.398606848496925
zone5,R20,QRLSTM,Ridge,5.444037520276484
zone5,R20,Ridge,GBR,5.013035760078637
zone5,R20,Ridge,MLP,5.035462783616012
zone5,R20,Ridge,QRLSTM,5.005399867954962
zone5,R20,Ridge,Ridge,5.028313534341402
zone6,R01,GBR,GBR,1.7675057032701498
zone6,R01,GBR,MLP,1.7824742437060728
zone6,R01,GBR,QRLSTM,1.77314032082315
zone6,R01,GBR,Ridge,1.7736898544703528
zone6,R01,MLP,GBR,1.6651787147020356
zone6,R01,MLP,MLP,1.686239050113735
zone6,R01,MLP,QRLSTM,1.6640484969011757
zone6,R01,MLP,Ridge,1.6801993402892084
zone6,R01,QRLSTM,GBR,1.6847401944023945
zone6,R01,QRLSTM,MLP,1.695584048610947
zone6,R01,QRLSTM,QRLSTM,1.6794850019217225
zone6,R01,QRLSTM,Ridge,1.69713590683251
zone6,R01,Ridge,GBR,1.7722535804004464
zone6,R01,Ridge,MLP,1.801600790740473
zone6,R01,Ridge,QRLSTM,1.7811172142134744
zone6,R01,Ridge,Ridge,1.777933551990192
zone6,R02,GBR,GBR,1.9796717879434844
zone6,R02,GBR,MLP,1.9925161026264835
zone6,R02,GBR,QRLSTM,1.9848936733716305
zone6,R02,GBR,Ridge,1.9833339929408176
zone6,R02,MLP,GBR,1.9216200472170055
zone6,R02,MLP,MLP,1.9408265799072681
zone6,R02,MLP,QRLSTM,1.9224376930076297
zone6,R02,MLP,Ridge,1.9328462835200322
zone6,R02,QRLSTM,GBR,1.9344989824817997
zone6,R02,QRLSTM,MLP,1.944382384380136
zone6,R02,QRLSTM,QRLSTM,1.9306478516692085
zone6,R02,QRLSTM,Ridge,1.942403653018706
zone6,R02,Ridge,GBR,2.0015205044124857
zone6,R02,Ridge,MLP,2.029073918097401
zone6,R02,Ridge,QRLSTM,2.010631911949438
zone6,R02,Ridge,Ridge,2.0047965679240516
zone6,R05P6179775281,GBR,GBR,2.6485224831524747
zone6,R05P6179775281,GBR,MLP,2.6636628233630524
zone6,R05P6179775281,GBR,QRLSTM,2.653476358129208
zone6,R05P6179775281,GBR,Ridge,2.6587880419934806
zone6,R05P6179775281,MLP,GBR,2.72364127067069
zone6,R05P6179775281,MLP,MLP,2.7334844529473368
zone6,R05P6179775281,MLP,QRLSTM,2.7165420004552554
zone6,R05P6179775281,MLP,Ridge,2.7311253459468263
zone6,R05P6179775281,QRLSTM,GBR,2.726151328586903
